AID,Date,AGE(1),GENDER(2),HISPANIC(3),ETHNICITY(4),ZIP(5),REGION(6),STANDARD_POLITICAL_PARTY(7),Gender,Hispanic,Ethnicity,Region,Political Party
5E892022-0A5F-49F4-E2A7-2E436DF2EC19,4/4/20 19:14,82,1,1,1,60061,2,2,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Republican
5E890A26-566B-699B-B9AA-AF63EA668D16,4/4/20 17:45,58,1,1,1,6907,1,2,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Republican
5E89206A-2EF5-ECF7-BF22-2070B27B241F,4/4/20 19:14,63,2,1,5,90703,4,2,Female,"No , not of Hispanic, Latino, or Spanish origin",Asian *** Chinese ,West,Republican
5E89205E-0B2D-2B16-F950-7CA102EB2125,4/4/20 19:27,22,2,1,1,57020,2,1,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Democrat
5E892066-3F16-5648-AA45-B574234A8DBB,4/4/20 19:43,66,2,1,1,45601,2,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Republican
5E892069-4BF0-556B-4302-1284D67472F1,4/4/20 19:17,37,2,1,1,11727,1,3,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Independent
5E89206B-907D-6D25-DF92-788A65FF3EC6,4/4/20 19:13,31,1,2,15,90503,4,1,Male,"Yes, Mexican, Mexican American, Chicano",Some other race ,West,Democrat
5E892072-55EA-895F-B67F-13F962ED44F2,4/4/20 20:13,51,2,1,1,46168,2,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Republican
5E892051-BE98-5ACC-3530-803B1F212F64,4/4/20 19:16,61,2,1,1,75028,3,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Republican
5E8920BC-A86A-23D7-71F5-07FBCD240178,4/4/20 19:20,59,2,1,1,1970,1,3,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Independent
5E8920AA-9148-CBCF-C4A7-9A745E7F0456,4/4/20 19:16,55,2,1,1,14559,1,1,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Democrat
5E8920C0-C541-DCB9-6222-F4C4E4CD7F1A,4/4/20 19:32,31,1,1,2,30083,3,3,Male,"No , not of Hispanic, Latino, or Spanish origin","Black, or African American",South,Independent
5E8920A0-3285-14C3-251D-C383F75ED5DA,4/4/20 19:20,42,2,1,1,16866,1,3,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Independent
5E8920A5-B050-2965-0101-6220E548EE91,4/4/20 19:20,56,2,1,1,60631,2,1,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Democrat
5E8920C7-3C50-6C97-AE68-F18939085CD0,4/4/20 19:19,64,1,1,1,98204,4,1,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,West,Democrat
5E892100-9790-7BBE-895B-4508B9674DF9,4/4/20 19:17,46,2,1,1,40220,3,3,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Independent
5E8920E9-D811-51C9-478F-43F4FAC78016,4/4/20 19:29,41,2,1,2,28328,3,1,Female,"No , not of Hispanic, Latino, or Spanish origin","Black, or African American",South,Democrat
5E89210B-8667-872C-8926-C9F20535780E,4/4/20 19:36,58,2,1,1,56243,2,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Republican
5E8920F0-601C-9367-2953-A24A48F5488D,4/4/20 19:13,38,1,1,1,57301,2,3,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Independent
5E8920F3-CCC0-D8D4-0C2E-79EB3DDD3C20,4/4/20 19:13,34,2,1,1,7876,1,3,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Independent
5E8920FB-8CDD-C39A-9359-742F0A652DEE,4/4/20 19:24,40,2,1,1,42101,3,1,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Democrat
5E89210B-FBFA-4CE8-6424-D85C3D336312,4/4/20 20:30,56,1,1,1,18201,1,2,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Republican
5E893E3F-2DE0-BCD2-14EB-10D37651A840,4/4/20 21:23,39,2,1,1,30263,3,3,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Independent
5E8920F1-86BF-7066-CEAA-9D28B6CDF8BE,4/4/20 19:14,22,1,1,1,32526,3,1,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Democrat
5E892128-B54C-3893-A889-067E0097DF6E,4/4/20 19:15,58,2,1,1,59758,4,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,West,Republican
5E89210A-2A9E-444B-8B2B-B07E05AA0B19,4/4/20 19:47,36,1,1,2,32907,3,3,Male,"No , not of Hispanic, Latino, or Spanish origin","Black, or African American",South,Independent
5E8920F2-198F-CE79-13EC-E9B8E3FA93D0,4/4/20 19:15,24,1,1,2,27856,3,1,Male,"No , not of Hispanic, Latino, or Spanish origin","Black, or African American",South,Democrat
5E892126-3ED7-0237-B8CE-74C26220A14E,4/4/20 19:18,31,1,2,1,24501,3,1,Male,"Yes, Mexican, Mexican American, Chicano",White ,South,Democrat
5E892146-9CEA-65F6-A698-7AB87A9EC6DA,4/4/20 19:15,49,2,1,1,75063,3,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Republican
5E892138-0674-8EB5-8C81-31165940EFFD,4/4/20 19:16,51,2,1,1,30752,3,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Republican
5E892159-742B-E293-E964-1B08EADA1A67,4/4/20 19:16,47,2,1,1,31401,3,3,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Independent
5E89215D-1FA5-63D3-80B3-CD840B3C3C22,4/4/20 19:15,38,2,1,1,51503,2,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Republican
5E8909F1-40A6-5B33-88AB-48F37BB285BC,4/4/20 17:37,20,2,1,1,29072,3,3,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Independent
5E890A1B-7E30-9F0B-7DD7-E9F435CFC2D7,4/4/20 18:21,32,2,1,1,6105,1,1,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Democrat
5E8923EE-D31C-6564-D19D-32FF31305EDA,4/4/20 19:41,32,2,1,1,13753,1,1,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Democrat
5E890A05-6C2F-DFA3-35BB-5C9F379643FB,4/4/20 17:43,35,1,1,1,74070,3,2,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Republican
5E8909F4-FFFA-7113-96B6-7296F011FCA5,4/4/20 17:39,67,1,1,1,15557,1,1,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Democrat
5E8923E1-A413-2D72-4CCA-104A01A7B3E2,4/4/20 19:33,64,1,1,1,54915,2,1,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Democrat
5E890A30-2FB3-730B-BFA3-BA67819937CD,4/4/20 17:42,69,1,2,3,95519,4,3,Male,"Yes, Mexican, Mexican American, Chicano",American Indian or Alaska Native ,West,Independent
5E890A37-F543-5DC1-37BB-80F31D491D7B,4/4/20 17:49,74,2,1,1,55344,2,1,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Democrat
5E890A3F-6E57-09EA-568F-7C3115122120,4/4/20 17:35,20,1,1,2,8820,1,1,Male,"No , not of Hispanic, Latino, or Spanish origin","Black, or African American",Northeast,Democrat
5E890A34-AD3B-B917-93A8-E51C57259F2E,4/4/20 17:36,42,2,1,1,22911,3,3,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Independent
5E890A3B-58B5-68E3-EDF7-939491AD2B7C,4/4/20 17:41,47,2,1,1,22556,3,3,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Independent
5E890A3F-FFAD-4268-F96E-074C07E5C580,4/4/20 17:43,57,2,1,1,17543,1,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Republican
5E890A5D-112D-D4FB-2B08-423B86E1558C,4/4/20 17:35,24,1,3,2,21631,3,2,Male,"Yes, Cuban","Black, or African American",South,Republican
5E890A41-89F9-AC0B-D47D-E0754519805D,4/4/20 18:03,69,1,1,2,90016,4,1,Male,"No , not of Hispanic, Latino, or Spanish origin","Black, or African American",West,Democrat
5E890A39-3C01-2EF5-E03A-D2220E70C1C7,4/4/20 17:43,38,2,1,1,30338,3,3,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Independent
5E890A55-DE86-4124-2611-3E3EE2ED05C2,4/4/20 17:37,47,2,1,1,19446,1,1,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Democrat
5E890A59-A347-132C-6BF0-AB6D185F7336,4/4/20 17:57,28,1,1,2,7079,1,1,Male,"No , not of Hispanic, Latino, or Spanish origin","Black, or African American",Northeast,Democrat
5E890A50-7B10-2AAE-5F34-EB9ECDFBD955,4/4/20 17:47,33,1,1,1,30277,3,3,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Independent
5E890A69-44DE-361A-D7BC-FB595806A07D,4/4/20 17:43,38,1,1,1,90720,4,2,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,West,Republican
5E890A6C-8BFE-C11F-219F-D4F281E80B51,4/4/20 17:38,35,1,1,1,19022,1,3,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Independent
5E890A72-0A9B-ACB5-1191-9D8FB2CCD527,4/4/20 17:39,59,2,1,1,20705,3,3,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Independent
5E890A78-7D47-8956-3C2C-496B4A546275,4/4/20 17:37,36,2,1,1,60803,2,3,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Independent
5E8909EF-DB47-814C-72E8-79229129F4F4,4/4/20 17:33,38,1,1,2,23227,3,2,Male,"No , not of Hispanic, Latino, or Spanish origin","Black, or African American",South,Republican
5E890A12-B27F-6816-9A75-35F74068CFA2,4/4/20 17:41,59,2,1,1,45377,2,1,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Democrat
5E890A0C-2DC1-A7FE-3E7C-4BF32EDB766C,4/4/20 17:39,54,2,1,2,11693,1,1,Female,"No , not of Hispanic, Latino, or Spanish origin","Black, or African American",Northeast,Democrat
5E890A83-2506-9873-5390-66F014DDF736,4/4/20 17:51,56,2,1,15,72104,3,1,Female,"No , not of Hispanic, Latino, or Spanish origin",Some other race ,South,Democrat
5E890A80-9BE4-415F-573F-2300038125FA,4/4/20 17:56,65,2,1,5,95831,4,1,Female,"No , not of Hispanic, Latino, or Spanish origin",Asian *** Chinese ,West,Democrat
5E890AA3-89EF-C363-05E6-7CFD0FE6E4D8,4/4/20 17:40,59,1,1,1,2072,1,2,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Republican
5E890A82-3DA9-EFA9-7758-F91DF9F9837E,4/4/20 17:52,72,1,1,1,20721,3,1,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Democrat
5E890ABB-ABFB-7E16-9D58-806C9B0EA0F2,4/4/20 17:40,64,2,1,2,89108,4,1,Female,"No , not of Hispanic, Latino, or Spanish origin","Black, or African American",West,Democrat
5E890B01-0469-06EA-73F0-A5AAADDCCB59,4/4/20 17:46,58,2,1,1,40119,3,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Republican
5E890B25-B748-A1EC-3F14-79E72C56236E,4/4/20 18:02,59,2,1,1,21209,3,1,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Democrat
5E88EEE8-E0E8-2326-79E0-5FC809C07139,4/4/20 15:56,46,2,1,1,42101,3,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Republican
5E88EEFD-6377-6FB8-4235-8D7B31FBC6D6,4/4/20 15:42,70,1,1,1,92656,4,2,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,West,Republican
5E892025-D428-ED32-588F-6BF041F73255,4/4/20 19:09,30,1,1,1,2124,1,1,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Democrat
5E892040-3C04-5E37-3845-E4C8356ACE46,4/4/20 19:08,54,2,1,1,19973,3,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Republican
5E89204F-64C7-25EC-C58B-76141CEA6D01,4/4/20 19:13,77,2,1,1,90403,4,1,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,West,Democrat
5E890668-84A9-EAFD-CC0D-41DEB7730590,4/4/20 17:30,69,2,1,1,68048,2,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Republican
5E890658-E5B8-623A-B9B3-402B8DC8C08B,4/4/20 17:19,47,2,1,1,64037,2,1,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Democrat
5E890679-AC1F-A334-93B1-EFE33CC2FFBC,4/4/20 17:25,73,1,1,1,48103,2,3,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Independent
5E89066F-95C1-09C0-E018-C3056E247B79,4/4/20 17:34,71,1,1,2,76548,3,3,Male,"No , not of Hispanic, Latino, or Spanish origin","Black, or African American",South,Independent
5E89205C-AFEB-2562-9ACA-AAEFF19CB226,4/4/20 19:20,62,2,1,1,7026,1,1,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Democrat
5E892056-66DF-DC50-5BA0-6BEE4F4CCB67,4/4/20 19:09,31,1,1,1,85259,4,2,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,West,Republican
5E892025-3380-6133-AF7F-6C54AD05C929,4/4/20 19:19,69,2,1,1,63116,2,1,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Democrat
5E890683-49DF-D210-635C-123BFECE89A0,4/4/20 17:26,67,2,1,1,4493,1,3,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Independent
5E890683-3C8D-BBE8-6F7F-2D84B2426004,4/4/20 17:44,46,2,1,1,37115,3,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Republican
5E890680-DD62-B19F-DB70-3E1F7B67A859,4/4/20 17:30,43,2,1,1,89108,4,1,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,West,Democrat
5E890683-B9A1-E774-098E-41B6EFBBB639,4/4/20 17:28,28,1,1,2,92139,4,1,Male,"No , not of Hispanic, Latino, or Spanish origin","Black, or African American",West,Democrat
5E8906A1-D769-5BB6-8541-69032CE049C3,4/4/20 17:36,45,1,1,1,33160,3,1,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Democrat
5E890686-D02B-ED0A-993F-BB722A379DD8,4/4/20 17:28,23,2,1,4,20740,3,1,Female,"No , not of Hispanic, Latino, or Spanish origin",Asian *** Asian Indian ,South,Democrat
5E890689-9978-4E4F-73AB-38612D9A1435,4/4/20 17:25,66,1,1,1,95713,4,1,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,West,Democrat
5E890708-B663-8F64-38C5-3CA6178AD57D,4/4/20 17:19,23,1,1,1,35206,3,1,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Democrat
5E890714-FA02-B30C-960E-9CD731F99386,4/4/20 17:32,61,1,14,1,10030,1,1,Male,"Yes, another Hispanic, Latino, or Spanish origin *** Other Country",White ,Northeast,Democrat
5E89071E-AC67-6074-536A-06EB98CF17EA,4/4/20 17:27,68,1,1,7,96706,4,2,Male,"No , not of Hispanic, Latino, or Spanish origin",Asian *** Japanese ,West,Republican
5E89074E-1018-C6F9-AADB-A0CFADFDFE76,4/4/20 17:45,54,1,1,1,32118,3,3,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Independent
5E89073F-52CB-B746-2F9F-6A3678DCE1F3,4/4/20 17:28,32,1,1,1,32835,3,2,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Republican
5E890741-A071-A748-7332-8B93CE5F967F,4/4/20 17:26,28,1,1,5,94582,4,1,Male,"No , not of Hispanic, Latino, or Spanish origin",Asian *** Chinese ,West,Democrat
5E890781-D74F-148A-0764-979EE024FBBF,4/4/20 17:25,31,2,1,9,95133,4,1,Female,"No , not of Hispanic, Latino, or Spanish origin",Asian *** Vietnamese ,West,Democrat
5E890730-6060-54F6-4A9A-5ACFD46DCFB8,4/4/20 17:23,20,2,1,7,91776,4,3,Female,"No , not of Hispanic, Latino, or Spanish origin",Asian *** Japanese ,West,Independent
5E89076D-83B4-11A6-5BEA-A239EF5F4559,4/4/20 17:55,58,2,1,1,30184,3,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Republican
5E890777-CC32-DE60-BDDF-ABC8665FEB57,4/4/20 17:38,55,2,1,1,75098,3,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Republican
5E890793-953D-79DF-198A-91B4E0CD3571,4/4/20 17:32,70,1,1,1,48021,2,3,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Independent
5E89079D-2A78-B3BD-8DE6-FE8E561B3DDF,4/4/20 17:32,49,1,1,1,46112,2,2,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Republican
5E8907B6-BB06-F3F7-A2EE-968BE78DD496,4/4/20 17:25,64,1,1,1,90028,4,1,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,West,Democrat
5E8907A3-F7D2-E894-7CB9-B70152A5F4E3,4/4/20 17:38,58,1,1,3,28139,3,2,Male,"No , not of Hispanic, Latino, or Spanish origin",American Indian or Alaska Native ,South,Republican
5E8907A5-C222-59D3-C617-C511349A4D3D,4/4/20 17:27,61,2,1,1,40165,3,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Republican
5E8907A8-29D0-F09F-395C-DC5BDFB804B9,4/4/20 17:36,86,1,1,1,46012,2,2,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Republican
5E8907CC-CB76-39E0-5264-7F3F9723658E,4/5/20 12:48,64,2,14,1,77802,3,1,Female,"Yes, another Hispanic, Latino, or Spanish origin *** Other Country",White ,South,Democrat
5E8907B2-CB9D-8F85-D5E9-D7BC2855D1F1,4/4/20 17:31,70,2,1,1,21224,3,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Republican
5E8907DC-25FA-F5BD-28D0-E28CF96827BD,4/4/20 17:35,62,2,1,1,23454,3,1,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Democrat
5E8907E6-286F-8A32-869E-D33E582A4F11,4/4/20 17:49,56,1,1,1,37887,3,2,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Republican
5E8907FD-4A85-47BC-BA65-415F4DDA30E4,4/4/20 20:25,76,1,1,1,42436,3,2,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Republican
5E890837-C54F-2C68-4270-623B39D9C362,4/4/20 17:24,37,2,1,2,10701,1,1,Female,"No , not of Hispanic, Latino, or Spanish origin","Black, or African American",Northeast,Democrat
5E89083B-ED3F-B1B0-7666-D4713813CA38,4/4/20 17:26,69,1,1,1,97405,4,3,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,West,Independent
5E89082C-9B58-C9A5-C55E-D9CFE3892F27,4/4/20 17:26,24,1,7,15,20785,3,3,Male,"Yes, another Hispanic, Latino, or Spanish origin *** El Salvadore ",Some other race ,South,Independent
5E8922B0-1790-50F1-9847-1A33A3EABDB2,4/4/20 19:25,66,2,1,1,2740,1,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Republican
5E88ECD5-4F87-934D-5052-05BEADE4E6ED,4/4/20 15:42,54,2,1,1,27262,3,1,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Democrat
5E88ECD2-B1E1-1584-0229-BB19A5B63900,4/4/20 15:30,71,2,1,1,73106,3,1,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Democrat
5E890948-23C0-E5F2-EBA1-068298B46A06,4/4/20 17:34,75,2,1,1,43081,2,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Republican
5E89238D-4308-B8A8-7919-DB1743DA91E8,4/4/20 19:28,23,1,1,1,13208,1,1,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Democrat
5E892386-0485-A8C6-6A2F-26F7086D4CE1,4/4/20 19:38,67,2,1,1,2766,1,3,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Independent
5E89238B-B6C0-9239-B3A9-0343DC4E22E4,4/4/20 19:26,66,1,1,1,17847,1,2,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Republican
5E892371-A343-290F-E4F1-0A575E76B112,4/4/20 19:35,44,2,1,1,55021,2,3,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Independent
5E892399-A444-6525-C7D4-8A01B19305C6,4/4/20 19:28,54,2,1,1,29579,3,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Republican
5E892399-5C3E-2FF0-866B-3355DC04FF74,4/4/20 19:26,40,2,1,8,90501,4,1,Female,"No , not of Hispanic, Latino, or Spanish origin",Asian *** Korean ,West,Democrat
5E8909C5-DDF1-0ACF-E4C8-1117D9F5534D,4/4/20 17:40,65,2,1,1,44047,2,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Republican
5E8909B3-8CCC-DEDE-85B2-AE257359BDE1,4/4/20 17:35,51,2,1,1,96706,4,1,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,West,Democrat
5E8909B6-179B-7471-BE99-B76E29C4C3B5,4/4/20 17:38,60,1,1,1,63703,2,3,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Independent
5E8909C1-A925-F38D-B827-075F788DEAF7,4/4/20 17:41,65,2,1,1,96080,4,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,West,Republican
5E8909C4-1F06-B909-0F21-C9C35B746D0E,4/4/20 17:35,58,1,1,2,78723,3,3,Male,"No , not of Hispanic, Latino, or Spanish origin","Black, or African American",South,Independent
5E8909EF-6AD1-FEE7-4645-F5B3BE7768A6,4/4/20 17:46,28,1,2,9,89509,4,1,Male,"Yes, Mexican, Mexican American, Chicano",Asian *** Vietnamese ,West,Democrat
5E8909F2-A4BA-1118-10A7-BEFB791FA2C2,4/4/20 17:33,27,1,1,1,19111,1,1,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Democrat
5E8909FB-39E9-921D-8371-BCA523D4523D,4/4/20 17:35,28,2,1,1,17202,1,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Republican
